"","x"
"1","EWS"
"2","EWS"
"3","EWS"
"4","EWS"
"5","EWS"
"6","EWS"
"7","EWS"
"8","EWS"
"9","EWS"
"10","EWS"
"11","EWS"
"12","EWS"
"13","EWS"
"14","EWS"
"15","EWS"
"16","EWS"
"17","EWS"
"18","EWS"
"19","EWS"
"20","EWS"
"21","EWS"
"22","EWS"
"23","EWS"
"24","BL-NHL"
"25","BL-NHL"
"26","BL-NHL"
"27","BL-NHL"
"28","BL-NHL"
"29","BL-NHL"
"30","BL-NHL"
"31","BL-NHL"
"32","NB"
"33","NB"
"34","NB"
"35","NB"
"36","NB"
"37","NB"
"38","NB"
"39","NB"
"40","NB"
"41","NB"
"42","NB"
"43","NB"
"44","RMS"
"45","RMS"
"46","RMS"
"47","RMS"
"48","RMS"
"49","RMS"
"50","RMS"
"51","RMS"
"52","RMS"
"53","RMS"
"54","RMS"
"55","RMS"
"56","RMS"
"57","RMS"
"58","RMS"
"59","RMS"
"60","RMS"
"61","RMS"
"62","RMS"
"63","RMS"
"64","RMS"
